Engine;Device Type;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
TensorFlowCUDA;ANY0;1;20.241546;6.295797;54.275292;10.117121;139.897403;18.941622;0.093900;0.038626;0.043818;0.024902;99151.460938
TensorFlowCUDA;ANY0;2;20.048684;5.598442;54.393198;8.238669;139.621301;17.298251;0.091141;0.037408;0.041958;0.023502;98240.882812
TensorFlowCUDA;ANY0;3;20.042553;5.554828;54.147840;7.360844;139.422740;16.572090;0.090328;0.035919;0.042347;0.023154;98197.773438
TensorFlowCUDA;ANY0;4;20.032923;5.588057;54.386685;8.235986;139.405751;17.131106;0.091804;0.037437;0.042188;0.024130;98364.359375
TensorFlowCUDA;ANY0;5;20.132608;5.931121;54.263348;7.353125;140.093711;18.014412;0.091234;0.037729;0.042555;0.024515;98655.617188
TensorFlowCUDA;ANY0;6;20.167017;5.901566;53.717102;7.659558;139.933778;17.052469;0.096685;0.040234;0.045494;0.025809;98818.289062
TensorFlowCUDA;ANY0;7;19.520937;4.663876;36.293470;20.254968;137.959204;20.961188;0.109100;0.043729;0.054580;0.028404;95322.148438
TensorFlowCUDA;ANY0;8;20.221990;6.174030;53.506158;7.348332;139.466527;16.795004;0.090821;0.037485;0.042106;0.024230;99135.312500
TensorFlowCUDA;ANY0;9;20.141267;5.973436;53.697486;7.971604;139.387085;16.742123;0.093708;0.038546;0.044013;0.025461;98587.828125
TensorFlowCUDA;ANY0;10;19.406289;4.252328;35.818426;19.304143;137.321087;20.447006;0.110100;0.045184;0.055373;0.031117;94744.750000
OpenVINO;CPU;1;19.801891;5.533371;36.247991;19.834669;16.701341;1.680633;0.116311;0.027325;0.041813;0.016649;96687.531250
OpenVINO;CPU;2;19.799511;5.553062;36.216222;19.441317;16.953204;2.305187;0.120061;0.024924;0.040396;0.016690;96718.546875
OpenVINO;CPU;3;19.823689;5.518123;36.432581;19.584696;16.907652;1.711203;0.119961;0.019338;0.038547;0.013903;96709.343750
OpenVINO;CPU;4;19.947375;5.964794;36.115324;19.442790;16.743607;1.898418;0.124424;0.025889;0.041993;0.016431;97448.046875
OpenVINO;CPU;5;19.870690;5.920576;36.690580;20.606848;16.783434;1.780206;0.126484;0.028671;0.045284;0.019415;97106.250000
OpenVINO;CPU;6;19.869891;5.848026;36.415024;19.478033;16.941151;1.851370;0.117491;0.018581;0.038168;0.012569;96981.570312
OpenVINO;CPU;7;19.758378;5.302685;36.240142;19.568573;16.693024;1.747207;0.124127;0.025640;0.042418;0.017213;96619.914062
OpenVINO;CPU;8;19.809682;5.480925;35.935540;19.491821;16.964453;2.114427;0.116597;0.021763;0.040492;0.014342;96787.265625
OpenVINO;CPU;9;19.798338;5.515068;36.509993;20.050937;16.805130;1.723051;0.123809;0.025573;0.041649;0.016601;96679.835938
OpenVINO;CPU;10;19.780399;5.318076;35.969884;19.695390;17.089934;1.749313;0.122246;0.022603;0.041295;0.015290;96731.804688
TensorFlowCPU;ANY;1;33.143245;7.878069;16.641981;9.494474;713.317996;31.101341;0.088485;0.007179;0.030840;0.003818;219527.015625
TensorFlowCPU;ANY;2;32.896202;8.253547;35.301259;7.004084;723.263257;29.187990;0.089767;0.006593;0.032971;0.039152;228519.906250
TensorFlowCPU;ANY;3;33.242588;8.352489;18.250897;10.671290;717.445641;30.296114;0.089447;0.007000;0.030631;0.002097;221269.031250
TensorFlowCPU;ANY;4;32.935357;8.059120;20.348226;12.064956;721.694270;31.211239;0.087986;0.007622;0.030796;0.002354;223292.359375
TensorFlowCPU;ANY;5;32.558974;8.192462;34.852420;6.656414;728.620158;29.572418;0.091296;0.007232;0.030987;0.003160;229939.812500
TensorFlowCPU;ANY;6;33.069725;8.058699;19.044568;12.431178;723.304245;30.600944;0.088394;0.007061;0.030886;0.003221;223345.015625
TensorFlowCPU;ANY;7;33.066781;7.922161;18.364405;11.054372;721.199807;31.966074;0.088447;0.006938;0.031070;0.003389;222463.312500
TensorFlowCPU;ANY;8;32.727988;8.046995;16.973207;10.078528;731.322317;30.810138;0.089851;0.007095;0.030698;0.001700;225090.375000
TensorFlowCPU;ANY;9;32.845042;8.161126;22.362489;12.768910;726.549170;31.340598;0.087927;0.006966;0.030687;0.001823;225249.281250
TensorFlowCPU;ANY;10;32.887833;7.925198;21.273409;12.363135;726.300522;31.413808;0.088162;0.007433;0.030952;0.002684;224851.062500
