Engine;Device Type;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
TensorFlowCUDA;ANY;1;30.464603;9.043970;0.769624;1.459914;5.296071;8.093528;0.351305;0.174932;75.859743;31.255753;394957.656250
TensorFlowCUDA;ANY;2;30.341003;9.010899;0.755242;1.378592;5.379771;6.774502;0.349417;0.162049;75.797928;27.828493;395033.656250
TensorFlowCUDA;ANY;3;30.113974;9.305358;0.847573;2.532081;5.262463;6.935125;0.365003;0.162762;76.125448;31.332471;396533.156250
TensorFlowCUDA;ANY;4;31.724397;9.021017;0.919998;2.086881;5.457940;6.855103;0.363709;0.169146;77.371648;29.130508;403832.125000
TensorFlowCUDA;ANY;5;29.213231;8.933259;0.732221;1.313315;5.346487;6.890423;0.361156;0.165442;76.004603;35.772975;395677.281250
TensorFlowCUDA;ANY;6;30.162845;8.873812;0.763401;1.554569;5.294473;6.776085;0.361362;0.168710;76.213835;29.335824;396510.531250
TensorFlowCUDA;ANY;7;29.057771;9.026958;0.723052;1.401621;5.349660;6.716574;0.360159;0.159798;75.664859;50.784935;393975.406250
TensorFlowCUDA;ANY;8;29.240225;8.997858;0.721086;1.282563;5.364446;6.711351;0.361434;0.164769;76.050865;47.846482;395951.156250
TensorFlowCUDA;ANY;9;29.288892;8.888404;0.713741;1.325688;5.342665;6.975545;0.361487;0.177928;75.743151;29.947198;394387.375000
TensorFlowCUDA;ANY;10;29.731031;9.002696;0.728184;1.407956;5.365723;6.860671;0.355353;0.158388;75.854870;29.540530;395125.500000
OpenVINO;CPU;1;37.623571;6.035880;0.800485;1.107806;16.267123;2.110164;0.175838;0.062475;66.072096;31.341177;399892.937500
OpenVINO;CPU;2;37.659536;6.150168;0.824994;1.280239;16.241049;2.011835;0.174258;0.055484;66.173772;32.367189;400384.625000
OpenVINO;CPU;3;37.867093;6.180085;0.850425;1.446048;16.267025;2.234860;0.174585;0.057528;66.345820;30.874099;401420.281250
OpenVINO;CPU;4;37.428436;6.340063;0.806853;1.176835;16.258661;2.089380;0.176341;0.058044;66.375455;43.279050;401380.718750
OpenVINO;CPU;5;37.549794;6.114962;0.831453;1.283435;16.168171;2.040879;0.174086;0.058032;66.071652;36.547492;399505.625000
OpenVINO;CPU;6;37.565251;6.194248;0.856178;1.473967;16.210452;2.128065;0.176044;0.079518;66.013348;34.227146;399631.375000
OpenVINO;CPU;7;37.650402;6.144023;0.796941;1.055838;16.245324;2.067470;0.171880;0.052310;66.250376;38.058991;400619.593750
OpenVINO;CPU;8;37.746725;6.091670;0.807943;1.179299;16.209256;2.035813;0.174889;0.058842;66.794028;41.004828;403172.468750
OpenVINO;CPU;9;37.767049;6.142372;0.813268;1.247108;16.259830;2.155086;0.176750;0.058761;66.362403;46.283288;401365.750000
OpenVINO;CPU;10;37.555823;6.375991;0.858234;1.447450;16.194511;2.183612;0.175983;0.058084;66.076097;27.581962;399757.750000
TensorFlowCPU;ANY;1;37.959483;8.335419;0.948787;1.108149;38.619788;6.611526;0.330862;0.116580;73.307880;29.978793;543215.312500
TensorFlowCPU;ANY;2;37.359763;8.195147;0.979042;1.323641;38.527502;6.405073;0.327550;0.118331;72.905117;28.082116;541059.000000
TensorFlowCPU;ANY;3;37.476110;8.341563;0.999725;1.377647;39.095414;6.986052;0.330962;0.111565;73.272551;28.495810;545491.750000
TensorFlowCPU;ANY;4;36.954539;8.248718;0.942343;1.139300;37.875743;6.314841;0.330296;0.116799;73.056970;30.528227;538411.312500
TensorFlowCPU;ANY;5;36.963413;8.323156;0.976802;1.322618;38.512308;6.152321;0.347618;0.116452;73.522667;31.057596;543910.812500
TensorFlowCPU;ANY;6;37.430861;8.371806;0.944846;1.111930;38.404394;6.312209;0.327053;0.120888;73.021557;34.388414;540861.437500
TensorFlowCPU;ANY;7;37.025112;8.427008;1.003974;1.481941;38.798645;6.596192;0.332408;0.115277;73.128620;28.848789;543321.875000
TensorFlowCPU;ANY;8;37.291167;8.195773;0.977092;1.290263;38.298110;6.266072;0.329957;0.119780;73.550133;30.201282;542995.437500
TensorFlowCPU;ANY;9;37.104741;8.229729;0.973535;1.302493;38.415883;6.512566;0.330829;0.113231;72.976045;28.588871;540791.000000
TensorFlowCPU;ANY;10;37.399482;8.395669;0.966991;1.168534;38.513908;6.484411;0.329133;0.116525;73.279214;30.325487;542620.187500
