Engine;Device Type;Patch level;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
TensorFlowCUDA;ANY;4;1024;1;30.158691;0.954379;0.812530;0.197261;47.061649;146.436769;0.169488;0.024177;16.964420;1.877823;1070.894165
TensorFlowCUDA;ANY;4;1024;2;31.636440;5.560405;0.813083;0.223348;40.790851;124.282663;0.313595;0.139544;26.797493;10.043491;1101.275513
TensorFlowCUDA;ANY;4;1024;3;31.356480;7.005654;0.795115;0.341501;41.185312;124.694156;0.295400;0.162696;23.734079;8.799702;1068.376343
TensorFlowCUDA;ANY;4;1024;4;30.443117;2.497059;1.013709;0.793509;42.317186;128.925620;0.368588;0.127085;29.268970;8.273555;1156.210938
TensorFlowCUDA;ANY;4;1024;5;28.985544;1.368794;0.880425;0.387297;40.608554;123.023148;0.333249;0.134084;28.063985;9.906392;1109.509155
TensorFlowCUDA;ANY;4;1024;6;29.168219;1.280282;0.868768;0.309302;41.043518;124.296056;0.351001;0.135640;27.416814;8.817395;1126.571899
TensorFlowCUDA;ANY;4;1024;7;29.144127;1.328245;2.221647;4.348961;40.997905;123.757679;0.440992;0.077522;34.975295;6.578864;1225.153931
TensorFlowCUDA;ANY;4;1024;8;28.946786;1.341880;0.823059;0.383404;40.964431;124.255765;0.284408;0.137729;24.660959;8.482887;1069.599121
TensorFlowCUDA;ANY;4;1024;9;29.188473;1.297814;0.824865;0.325791;41.878516;126.673456;0.337214;0.160939;27.533395;9.715625;1116.585083
TensorFlowCUDA;ANY;4;1024;10;29.101429;1.298110;0.848073;0.355541;40.806792;123.754955;0.394105;0.140656;30.630488;9.142618;1166.122681
TensorFlowCUDA;ANY;4;512;1;7.648627;0.797636;1.082973;3.274869;14.225653;63.990863;0.328294;0.157320;27.363181;10.976823;2441.978516
TensorFlowCUDA;ANY;4;512;2;7.587610;0.284552;0.644483;0.290015;13.937992;62.453865;0.339794;0.159242;26.890086;9.847119;2393.591309
TensorFlowCUDA;ANY;4;512;3;7.576744;0.308842;1.032724;2.667501;13.991062;62.967175;0.352600;0.147143;27.919947;9.913232;2454.676270
TensorFlowCUDA;ANY;4;512;4;7.635082;0.311836;1.004045;2.835819;13.868882;62.659334;0.369672;0.151697;27.570030;9.034926;2449.156494
TensorFlowCUDA;ANY;4;512;5;8.170098;3.394091;0.608103;0.146841;14.293612;64.492527;0.302122;0.165175;25.044197;10.300939;2294.360352
TensorFlowCUDA;ANY;4;512;6;7.564299;0.328234;0.850872;1.252981;14.273211;65.227299;0.268969;0.144398;23.587236;9.489124;2227.330078
TensorFlowCUDA;ANY;4;512;7;7.516756;0.281862;0.717873;0.955082;14.106290;63.421117;0.282406;0.151289;24.381627;8.886849;2254.044922
