Engine;Device Type;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
OpenVINO;CPU;1;49.594018;9.683749;3.498143;0.375285;49.886192;5.509742;0.015995;0.004024;0.013265;0.004051;258759.390625
OpenVINO;CPU;2;49.364723;9.342993;3.482173;0.360682;49.158683;4.715575;0.015701;0.003881;0.012912;0.004180;254990.109375
OpenVINO;CPU;3;49.598307;9.649721;3.515890;0.498321;50.439824;6.109800;0.015825;0.004269;0.012810;0.003710;261406.296875
OpenVINO;CPU;4;48.360510;8.868920;3.472364;0.329664;48.977337;4.408245;0.014960;0.003799;0.012477;0.003451;254324.156250
OpenVINO;CPU;5;52.059931;9.732054;3.501482;0.345859;53.175271;5.791361;0.015336;0.004151;0.012746;0.004285;274137.718750
OpenVINO;CPU;6;61.717952;14.671991;4.227087;1.947882;62.799610;14.924121;0.019089;0.004273;0.016489;0.004799;324096.500000
OpenVINO;CPU;7;53.241025;9.875832;3.588085;0.659285;53.266677;6.887004;0.016022;0.004476;0.013526;0.004408;276254.437500
OpenVINO;CPU;8;49.389286;10.426413;3.501501;0.490203;49.760159;6.897446;0.015658;0.006006;0.012961;0.005076;258105.687500
OpenVINO;CPU;9;50.132317;9.402755;3.437213;0.427801;50.060017;6.575970;0.015341;0.004383;0.012872;0.003711;259060.390625
OpenVINO;CPU;10;49.437015;11.662176;3.572309;1.083448;50.721539;9.929261;0.015259;0.004095;0.012928;0.005452;262901.062500
OpenVINO;GPU;1;62.377200;7.845498;4.269859;0.396529;28.071496;0.837897;0.022212;0.009203;0.017711;0.006114;307076.375000
OpenVINO;GPU;2;63.249252;8.487218;4.329858;0.464190;28.305726;0.931370;0.020058;0.007497;0.018109;0.007210;310905.281250
OpenVINO;GPU;3;63.199156;8.779431;4.255636;0.602492;28.217716;0.994760;0.023019;0.004885;0.019322;0.005020;310935.812500
OpenVINO;GPU;4;63.590899;8.991735;4.298931;0.476366;28.382875;1.021374;0.020834;0.005523;0.017683;0.007234;312930.781250
OpenVINO;GPU;5;63.452219;8.642302;4.247014;0.453183;28.730193;0.865425;0.021031;0.004531;0.019343;0.006499;311386.875000
OpenVINO;GPU;6;64.274345;8.728497;4.267132;0.607997;29.001140;0.952969;0.021287;0.004891;0.019598;0.005468;315838.343750
OpenVINO;GPU;7;63.596374;8.710820;4.268252;0.423732;28.649551;0.965579;0.019290;0.005695;0.017829;0.006161;312744.906250
OpenVINO;GPU;8;63.597778;8.872104;4.276631;0.528110;28.620685;0.976813;0.019948;0.006732;0.017658;0.006431;312565.343750
OpenVINO;GPU;9;67.944558;13.534747;4.483526;0.846881;29.253695;1.433831;0.022318;0.009983;0.019764;0.005580;333180.062500
OpenVINO;GPU;10;63.553257;8.586332;4.357972;0.461606;28.748900;0.902175;0.019026;0.005196;0.017896;0.010347;312627.031250
TensorFlowCPU;ANY;1;101.660450;43.705496;4.016615;0.364284;216.945266;17.935692;0.017436;0.003606;0.015024;0.003652;1058952.125000
TensorFlowCPU;ANY;2;104.552843;49.446985;4.077501;1.452446;217.916711;22.103723;0.017279;0.004505;0.015073;0.003645;1063932.875000
TensorFlowCPU;ANY;3;99.982291;42.560403;3.998443;0.631959;215.418305;17.268333;0.017110;0.003241;0.014875;0.002967;1051659.375000
TensorFlowCPU;ANY;4;102.153016;44.861597;4.002813;0.603999;215.636139;17.254308;0.017312;0.003604;0.015039;0.003560;1052711.375000
TensorFlowCPU;ANY;5;105.075814;47.520150;4.099047;0.859293;218.111976;24.566388;0.017471;0.004072;0.015194;0.004147;1065069.875000
TensorFlowCPU;ANY;6;106.552772;50.001533;4.149078;1.513736;220.219566;23.901256;0.017956;0.005272;0.015349;0.003609;1076162.375000
TensorFlowCPU;ANY;7;100.155288;44.584736;4.016961;0.360606;216.273619;21.457625;0.017094;0.003813;0.014831;0.003981;1056280.750000
TensorFlowCPU;ANY;8;101.653206;44.078659;4.041269;0.332770;215.511691;16.901872;0.017110;0.003817;0.015129;0.004092;1052337.375000
TensorFlowCPU;ANY;9;104.171564;47.311963;4.086468;0.802899;218.726477;24.063811;0.017484;0.004608;0.015132;0.004125;1067703.000000
TensorFlowCPU;ANY;10;122.583288;53.675458;4.288772;0.826609;227.258673;25.294129;0.018346;0.004519;0.016035;0.004472;1109460.500000
