Engine;Device Type;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
OpenVINO;CPU;1;49.045161;11.502405;3.658240;1.475083;303.135808;68.616737;0.014076;0.003651;0.012157;0.004541;1468501.625000
OpenVINO;CPU;2;48.456623;9.182021;3.560743;0.339620;298.376458;40.377693;0.014196;0.003124;0.011795;0.003517;1445330.000000
OpenVINO;CPU;3;47.912478;9.200889;3.555259;0.279488;298.437358;34.820531;0.014883;0.003947;0.011753;0.003112;1446047.250000
OpenVINO;CPU;4;49.029243;9.841636;3.596781;0.457144;300.402601;49.602976;0.015261;0.003467;0.011901;0.003585;1455173.125000
OpenVINO;CPU;5;48.654360;9.742319;3.555256;0.415496;298.190612;42.468074;0.015013;0.004266;0.011953;0.004918;1444426.375000
OpenVINO;CPU;6;48.410626;8.983412;3.539406;0.322928;297.672843;36.585863;0.013882;0.003542;0.011699;0.003571;1441845.250000
OpenVINO;CPU;7;48.320023;10.483770;3.587469;0.334964;296.600100;41.832349;0.014285;0.002984;0.011739;0.003598;1436999.125000
OpenVINO;CPU;8;47.954785;8.975691;3.559719;0.330337;298.826879;34.540739;0.014578;0.002957;0.011819;0.003480;1447465.875000
OpenVINO;CPU;9;48.664214;9.276444;3.540432;0.285478;296.293932;33.635882;0.015055;0.003540;0.011858;0.003441;1435292.750000
OpenVINO;CPU;10;49.269501;9.283123;3.580182;0.325956;304.180772;43.670785;0.014209;0.002976;0.011899;0.003440;1473173.875000
OpenVINO;GPU;1;159.711315;15.539819;5.711019;0.990748;153.448790;4.988776;0.033629;0.009756;0.031909;0.012012;789314.062500
OpenVINO;GPU;2;160.508516;17.554380;5.888144;3.262066;153.603253;5.673774;0.033678;0.014691;0.031854;0.017064;792875.625000
OpenVINO;GPU;3;158.979317;14.758862;5.672025;1.053721;152.881362;4.805283;0.038500;0.022604;0.037181;0.019643;785281.437500
OpenVINO;GPU;4;161.097446;20.798563;5.859713;2.429593;153.682814;6.028626;0.033323;0.016600;0.031547;0.014587;796166.312500
OpenVINO;GPU;5;158.806269;14.572288;5.639578;0.962934;152.695363;4.710366;0.040018;0.024441;0.038477;0.020938;785114.312500
OpenVINO;GPU;6;159.541080;15.741378;5.674132;1.108824;153.276606;5.098093;0.031673;0.009941;0.031124;0.013884;788193.750000
OpenVINO;GPU;7;159.295066;15.797732;5.722250;1.531730;153.107230;4.876389;0.034433;0.011731;0.033200;0.012308;787473.187500
OpenVINO;GPU;8;159.159705;14.463110;5.733117;1.061988;153.063334;4.810649;0.031914;0.010954;0.030358;0.011985;786231.375000
OpenVINO;GPU;9;159.438038;15.441437;5.702970;1.018794;153.226143;4.845570;0.035249;0.010268;0.032398;0.012214;787574.187500
OpenVINO;GPU;10;159.356778;15.977304;5.716688;1.253014;152.942931;4.876107;0.038679;0.024009;0.037621;0.021475;787879.937500
TensorFlowCPU;ANY;1;102.568321;41.798643;4.638540;0.886304;450.039121;62.445843;0.020265;0.003928;0.017833;0.004763;2175293.000000
TensorFlowCPU;ANY;2;102.170030;41.997823;4.615164;0.857645;452.561601;79.248210;0.020264;0.005513;0.017284;0.006114;2187422.000000
TensorFlowCPU;ANY;3;99.432543;40.042969;4.559164;0.926188;447.356275;62.239602;0.020030;0.003778;0.017306;0.004231;2162028.750000
TensorFlowCPU;ANY;4;100.655667;41.705867;4.567189;1.315867;449.935531;65.787031;0.019983;0.005233;0.017142;0.004913;2174364.750000
TensorFlowCPU;ANY;5;100.761487;42.947770;4.553844;0.771152;450.254094;63.764513;0.019782;0.005751;0.017043;0.005512;2175804.500000
TensorFlowCPU;ANY;6;98.455379;40.889424;4.550677;0.734965;442.559058;60.029510;0.020030;0.004837;0.017004;0.003794;2139031.750000
TensorFlowCPU;ANY;7;99.551711;39.945379;4.509113;0.441461;445.523060;59.572936;0.019713;0.003722;0.017051;0.004023;2153028.750000
TensorFlowCPU;ANY;8;100.010752;39.192272;4.564189;0.578677;449.939445;60.424428;0.020201;0.004603;0.017408;0.006310;2174385.500000
TensorFlowCPU;ANY;9;103.360193;39.589680;4.636681;0.490934;451.024467;66.778623;0.020739;0.004004;0.018149;0.004504;2180210.000000
TensorFlowCPU;ANY;10;99.208033;40.277787;4.523934;0.564684;445.251343;60.070283;0.019879;0.004743;0.017092;0.004782;2151800.250000
