Engine;Device Type;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
TensorRT;ANY0;1;22.101238;2.833885;2.041882;0.313323;11.191097;0.512305;0.008736;0.000940;0.007190;0.000848;110441.070313
TensorRT;ANY0;2;22.158313;2.855444;2.138796;0.248984;11.222048;0.515313;0.009261;0.001092;0.007072;0.000860;110645.437500
TensorRT;ANY0;3;22.463380;2.806030;2.070057;0.276451;11.209348;0.502728;0.008856;0.000973;0.007030;0.000695;112206.546875
TensorRT;ANY0;4;22.227101;2.779314;2.078306;0.279009;11.236984;0.522243;0.008515;0.001012;0.007078;0.000682;111179.890625
TensorRT;ANY0;5;22.014729;2.858792;2.115544;0.252817;11.227178;0.518377;0.008865;0.000920;0.007100;0.001413;109867.781250
TensorRT;ANY0;6;22.058982;2.832609;2.106778;0.228616;11.218469;0.513874;0.008927;0.000969;0.007078;0.000716;109965.898438
TensorRT;ANY0;7;22.114220;2.841305;2.038078;0.277739;11.262320;0.523564;0.008674;0.001064;0.007017;0.000762;110440.132813
TensorRT;ANY0;8;22.135056;2.797021;2.135539;0.252117;11.231828;0.497995;0.008791;0.000889;0.007065;0.000786;110483.265625
TensorRT;ANY0;9;22.282125;2.886731;2.099975;0.312351;11.266779;0.504174;0.009344;0.001048;0.007061;0.000730;111320.539063
TensorRT;ANY0;10;21.983532;2.821177;2.116525;0.228734;11.237523;0.505955;0.009032;0.001041;0.007022;0.000785;109616.367188
TensorRT;ANY1;1;22.251048;2.826019;2.139818;0.252258;11.256040;0.502589;0.008681;0.000867;0.007158;0.000683;111189.093750
TensorRT;ANY1;2;22.310140;2.826814;2.094300;0.323973;11.265983;0.505283;0.008792;0.000843;0.007171;0.000666;111430.554688
TensorRT;ANY1;3;22.025273;2.841832;2.111775;0.234966;11.243952;0.498859;0.008643;0.000854;0.007118;0.000832;109806.296875
TensorRT;ANY1;4;22.113527;2.812521;1.993655;0.282013;11.254831;0.524858;0.009046;0.000984;0.006982;0.000754;110350.328125
TensorRT;ANY1;5;22.149367;2.808910;2.143861;0.249353;11.252609;0.521463;0.008967;0.001108;0.006985;0.002673;110587.164063
TensorRT;ANY1;6;22.302731;2.809195;2.107758;0.309791;11.270738;0.518885;0.008979;0.001020;0.006934;0.000746;111369.109375
TensorRT;ANY1;7;22.034789;2.830482;2.116642;0.235854;11.261734;0.508863;0.008859;0.001067;0.007097;0.000878;109831.273438
TensorRT;ANY1;8;22.109564;2.820662;2.028881;0.273759;11.273379;0.534218;0.009019;0.001723;0.007176;0.000731;110390.437500
TensorRT;ANY1;9;22.107895;2.826833;2.126420;0.240306;11.263198;0.519257;0.008812;0.001665;0.007067;0.000715;110379.976563
TensorRT;ANY1;10;22.284027;2.833062;2.064168;0.318809;11.246889;0.519529;0.010424;0.001011;0.007091;0.000708;111231.703125
OpenVINO;CPU;1;32.125702;5.777736;2.385104;0.300698;119.001838;4.465320;0.014459;0.001278;0.009863;0.000758;582199.250000
