Engine;Device Type;Iteration;Image Read AVG;Image Read STD;Resize AVG;Resize STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Convert AVG;Convert STD;Resize Back AVG;Resize Back STD;Total
TensorFlowCUDA;ANY0;1;8.274488;0.000000;1.036400;0.000000;2.146892;0.000000;1056.272553;0.000000;0.012789;0.000000;6.593201;0.000000;1.403475;0.000000;1075.760766
TensorFlowCUDA;ANY0;2;11.197782;0.000000;1.040705;0.000000;2.151820;0.000000;989.772335;0.000000;0.016145;0.000000;4.968213;0.000000;0.935149;0.000000;1010.101006
TensorFlowCUDA;ANY0;3;8.681387;0.000000;1.039292;0.000000;2.143551;0.000000;1000.888856;0.000000;0.011955;0.000000;4.716707;0.000000;0.813030;0.000000;1018.314927
TensorFlowCUDA;ANY0;4;8.518252;0.000000;1.041101;0.000000;2.577683;0.000000;996.147513;0.000000;0.013353;0.000000;6.614149;0.000000;1.416100;0.000000;1016.346886
TensorFlowCUDA;ANY0;5;10.789177;0.000000;1.041567;0.000000;2.393906;0.000000;982.448364;0.000000;0.014089;0.000000;3.918112;0.000000;0.639134;0.000000;1001.261685
TensorFlowCUDA;ANY0;6;7.834394;0.000000;1.041027;0.000000;2.108190;0.000000;976.722463;0.000000;0.013008;0.000000;6.601403;0.000000;1.402344;0.000000;995.746485
TensorFlowCUDA;ANY0;7;10.638845;0.000000;1.041784;0.000000;2.156049;0.000000;994.213223;0.000000;0.016812;0.000000;6.766689;0.000000;1.380435;0.000000;1016.232183
TensorFlowCUDA;ANY0;8;12.985571;0.000000;0.923518;0.000000;2.192726;0.000000;1005.908712;0.000000;0.013919;0.000000;6.627767;0.000000;1.436059;0.000000;1030.106847
TensorFlowCUDA;ANY0;9;17.450400;0.000000;1.038298;0.000000;2.128846;0.000000;995.853593;0.000000;0.014264;0.000000;6.591448;0.000000;1.433051;0.000000;1024.530985
TensorFlowCUDA;ANY0;10;10.642888;0.000000;1.040072;0.000000;2.237369;0.000000;990.293649;0.000000;0.013551;0.000000;6.143725;0.000000;1.400383;0.000000;1011.794358
OpenVINO;CPU;1;7.760350;0.000000;1.037694;0.000000;4.201338;0.000000;147.865943;0.000000;0.007126;0.000000;2.086123;0.000000;0.661654;0.000000;163.640193
OpenVINO;CPU;2;7.762520;0.000000;1.044141;0.000000;4.279776;0.000000;160.975632;0.000000;0.008520;0.000000;1.906593;0.000000;0.682610;0.000000;176.678775
OpenVINO;CPU;3;7.938137;0.000000;1.034679;0.000000;4.186187;0.000000;146.648249;0.000000;0.007828;0.000000;2.037405;0.000000;0.647856;0.000000;162.520011
OpenVINO;CPU;4;8.220687;0.000000;1.036342;0.000000;4.187116;0.000000;146.447351;0.000000;0.007769;0.000000;2.033251;0.000000;0.645929;0.000000;162.597906
OpenVINO;CPU;5;8.140601;0.000000;1.039425;0.000000;4.190515;0.000000;146.211838;0.000000;0.007804;0.000000;2.043301;0.000000;0.661395;0.000000;162.315220
OpenVINO;CPU;6;8.198144;0.000000;1.040194;0.000000;4.368191;0.000000;148.475472;0.000000;0.008296;0.000000;2.087697;0.000000;19.395945;0.000000;183.594373
OpenVINO;CPU;7;20.312609;0.000000;1.039407;0.000000;4.329366;0.000000;157.413520;0.000000;0.007550;0.000000;2.299636;0.000000;0.632447;0.000000;186.053987
OpenVINO;CPU;8;9.116429;0.000000;1.037428;0.000000;4.183562;0.000000;146.923716;0.000000;0.008080;0.000000;2.055230;0.000000;0.659808;0.000000;164.005411
