Engine;Device Type;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
TensorRT;ANY;1;6.545812;2.265183;1.100870;1.078803;1.003202;0.039250;0.038751;0.006731;0.000000;-nan;129071.312500
TensorRT;ANY;2;6.570283;2.404755;1.108918;1.131118;0.998878;0.035009;0.042411;0.009534;0.000000;-nan;129549.304688
TensorRT;ANY;3;6.540759;2.331307;1.103027;1.086799;0.999876;0.034772;0.039213;0.007855;0.000000;-nan;128963.312500
TensorRT;ANY;4;6.596049;2.370043;1.109081;1.069318;1.000897;0.036840;0.045496;0.008010;0.000000;-nan;129999.945312
TensorRT;ANY;5;6.559022;2.379534;1.102099;1.060017;0.997157;0.034277;0.038696;0.005886;0.000000;-nan;129507.757812
TensorRT;ANY;6;6.546721;2.315358;1.108464;1.069308;0.996812;0.031833;0.039444;0.006090;0.000000;-nan;129131.390625
TensorRT;ANY;7;6.521845;2.308602;1.108719;1.069981;0.999071;0.033236;0.038665;0.006064;0.000000;-nan;128572.304688
TensorRT;ANY;8;6.567403;2.296126;1.112263;1.066174;1.000021;0.033029;0.041360;0.007119;0.000000;-nan;129552.734375
TensorRT;ANY;9;6.540212;2.318004;1.116234;1.036552;1.001118;0.033695;0.042245;0.007705;0.000000;-nan;129071.039062
TensorRT;ANY;10;6.610320;2.368841;1.136140;1.158762;1.001632;0.052990;0.039097;0.006076;0.000000;-nan;130401.820312
TensorFlowCUDA;ANY;1;6.683856;2.547652;1.077191;1.159152;3.377661;3.461269;0.037353;0.007910;0.000000;-nan;131239.828125
TensorFlowCUDA;ANY;2;6.610644;2.454197;1.084239;1.195991;3.378752;3.156032;0.037269;0.007049;0.000000;-nan;129697.843750
TensorFlowCUDA;ANY;3;6.616025;2.487974;1.071749;1.115518;3.391785;3.079296;0.036807;0.006911;0.000000;-nan;129849.820312
TensorFlowCUDA;ANY;4;6.579328;2.385130;1.062223;1.111859;3.378611;3.108473;0.037149;0.006996;0.000000;-nan;129201.343750
TensorFlowCUDA;ANY;5;6.595689;2.408291;1.047097;1.144013;3.390533;3.074515;0.037283;0.007139;0.000000;-nan;129411.554688
TensorFlowCUDA;ANY;6;6.591249;2.466554;1.089835;1.205944;3.395859;3.174048;0.037500;0.006966;0.000000;-nan;129198.421875
TensorFlowCUDA;ANY;7;6.598707;2.421031;1.072043;1.198525;3.382127;3.151813;0.037815;0.007136;0.000000;-nan;129634.640625
