Engine;Device Type;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
TensorRT;ANY0;1;21.752794;2.746795;2.346414;0.333833;4.991390;0.205104;0.008682;0.002850;0.007274;0.002476;108198.539063
TensorRT;ANY0;2;21.708034;2.703488;2.401148;0.325240;5.007976;0.199440;0.008632;0.003095;0.007237;0.002083;108007.648438
TensorRT;ANY0;3;21.952012;2.713439;2.324260;0.340025;5.006906;0.218045;0.009316;0.002694;0.007408;0.002959;109294.765625
TensorRT;ANY0;4;21.831820;2.681486;2.366760;0.346395;5.004397;0.216145;0.009039;0.003081;0.007251;0.002382;108589.039063
TensorRT;ANY0;5;21.794913;2.688304;2.352429;0.332506;4.995298;0.203676;0.008922;0.002968;0.007314;0.002443;108493.890625
TensorRT;ANY0;6;21.598767;2.689216;2.386253;0.331647;5.009356;0.190151;0.008616;0.002798;0.007108;0.002159;107542.054688
TensorRT;ANY0;7;21.647167;2.680743;2.413856;0.348504;5.031909;0.217270;0.008774;0.003581;0.007326;0.002435;107864.531250
TensorRT;ANY0;8;21.982965;2.669194;2.484092;0.389761;5.032045;0.241700;0.008932;0.003295;0.007347;0.002749;109419.226563
TensorRT;ANY0;9;21.616932;2.695890;2.413995;0.323945;5.002550;0.187227;0.008660;0.003095;0.007099;0.002044;107588.898438
TensorRT;ANY0;10;21.964185;2.702363;2.390121;0.388369;5.030304;0.236338;0.008878;0.003824;0.007253;0.002346;109355.726563
TensorRT;ANY1;1;21.878442;2.694810;2.333321;0.348216;5.014734;0.205337;0.008727;0.002872;0.007294;0.002200;109054.492188
TensorRT;ANY1;2;21.720889;2.813587;2.390574;0.325332;5.013815;0.201190;0.010072;0.003602;0.007160;0.002382;108192.882813
TensorRT;ANY1;3;21.571364;2.707851;2.363221;0.319087;4.994339;0.188242;0.008249;0.002565;0.007125;0.001966;107312.062500
TensorRT;ANY1;4;21.607916;2.702130;2.389552;0.341617;5.004241;0.206083;0.008871;0.002723;0.007377;0.002424;107467.312500
TensorRT;ANY1;5;21.880698;2.702045;2.389274;0.348411;5.008998;0.208993;0.008954;0.003292;0.007184;0.002192;108885.937500
TensorRT;ANY1;6;21.783075;2.709255;2.405789;0.331688;5.019063;0.206115;0.008651;0.003155;0.007345;0.002234;108504.382813
TensorRT;ANY1;7;21.871572;2.691109;2.328018;0.347660;5.019665;0.208513;0.008612;0.003021;0.007081;0.002050;108751.117188
TensorRT;ANY1;8;21.846909;2.690754;2.434804;0.358936;5.001591;0.208316;0.008516;0.003450;0.007023;0.002004;108744.468750
TensorRT;ANY1;9;21.604329;2.718590;2.368261;0.323928;5.007484;0.194848;0.008572;0.003195;0.007125;0.001978;107451.687500
TensorRT;ANY1;10;21.904564;2.653107;2.323815;0.336126;5.003378;0.203838;0.008329;0.002196;0.007204;0.002318;109056.812500
OpenVINO;CPU;1;31.638498;3.711347;2.269798;0.357986;22.496271;1.325292;0.013748;0.003147;0.010035;0.002029;155385.859375
OpenVINO;CPU;2;31.354034;3.774187;2.242080;0.339305;22.458702;1.260504;0.013106;0.002737;0.009629;0.001639;154211.265625
OpenVINO;CPU;3;30.988570;4.080525;2.176945;0.323284;22.867491;1.562020;0.013429;0.003388;0.010045;0.002165;152148.265625
OpenVINO;CPU;4;31.666850;3.782339;2.317610;0.371492;22.363498;1.280698;0.014403;0.002960;0.009996;0.001909;155492.484375
OpenVINO;CPU;5;31.634865;4.008647;2.159914;0.319384;22.464465;1.332884;0.012949;0.002600;0.009370;0.001533;155357.281250
OpenVINO;CPU;6;32.683921;3.766439;2.204821;0.327856;22.290669;1.358855;0.013085;0.002757;0.009459;0.001492;160345.656250
OpenVINO;CPU;7;31.429103;3.667184;2.266627;0.371444;22.534038;1.352565;0.013078;0.002781;0.009905;0.004590;154516.156250
OpenVINO;CPU;8;32.711605;3.858976;2.283752;0.357127;22.429147;1.303356;0.013821;0.002966;0.009596;0.001877;160586.046875
OpenVINO;CPU;9;30.811068;3.832434;2.134084;0.313643;22.586394;1.343523;0.012760;0.002590;0.009582;0.001993;151445.390625
OpenVINO;CPU;10;31.276535;3.754071;2.202055;0.337802;22.452436;1.375657;0.012935;0.002630;0.009560;0.001629;153664.968750
OpenVINO;GPU;1;37.660811;3.414107;2.551584;0.378212;28.342958;1.041202;0.013222;0.002997;0.009274;0.001580;185385.421875
OpenVINO;GPU;2;36.961464;3.400829;2.617434;0.339573;27.913381;1.107947;0.013032;0.002685;0.009362;0.001644;181963.015625
OpenVINO;GPU;3;37.492352;3.496043;2.544032;0.382348;28.210963;1.679796;0.013239;0.003155;0.009343;0.001716;184573.312500
OpenVINO;GPU;4;37.136950;3.423855;2.593843;0.340598;28.064378;1.071791;0.013206;0.002765;0.009253;0.001567;182795.343750
OpenVINO;GPU;5;37.219440;3.424438;2.502986;0.312407;28.312146;1.089691;0.013386;0.002692;0.009149;0.001443;183214.859375
OpenVINO;GPU;6;37.858945;3.788093;2.619256;0.388748;28.459782;2.148359;0.013650;0.003276;0.009406;0.001661;186493.406250
OpenVINO;GPU;7;37.651016;3.473839;2.497189;0.306297;28.508028;1.120913;0.013166;0.003320;0.009419;0.002041;185318.265625
OpenVINO;GPU;8;37.258394;3.469226;2.462954;0.358617;28.161383;1.171000;0.013411;0.003180;0.009324;0.001719;183415.812500
OpenVINO;GPU;9;37.237610;3.399364;2.595494;0.366170;28.049282;1.124932;0.012707;0.003384;0.009055;0.001614;183296.109375
OpenVINO;GPU;10;37.305340;3.421325;2.489804;0.330852;28.521015;1.071861;0.014569;0.003299;0.009640;0.001769;183744.453125
TensorFlowCPU;ANY;1;47.928747;7.667065;2.431580;0.385742;79.910506;4.675709;0.015349;0.004559;0.011700;0.002610;395079.875000
TensorFlowCPU;ANY;2;48.142505;7.617510;2.413646;0.363172;79.689737;4.551052;0.015469;0.004546;0.011587;0.002489;393938.718750
TensorFlowCPU;ANY;3;47.886813;7.570156;2.435859;0.358985;79.439699;4.607291;0.015568;0.004328;0.011555;0.002279;392845.468750
TensorFlowCPU;ANY;4;48.199355;7.562146;2.413511;0.353789;79.949348;4.566790;0.015555;0.004095;0.011452;0.002275;395192.187500
TensorFlowCPU;ANY;5;47.954882;7.564530;2.430209;0.349642;79.439677;4.885847;0.015379;0.004201;0.011693;0.002324;392815.750000
TensorFlowCPU;ANY;6;48.225359;7.617217;2.404364;0.339056;79.600840;4.533798;0.015436;0.004172;0.011637;0.002357;393482.625000
TensorFlowCPU;ANY;7;47.915728;7.607185;2.424134;0.334275;79.790948;4.735038;0.015127;0.003811;0.011693;0.002292;394467.781250
TensorFlowCPU;ANY;8;47.985555;7.662957;2.421338;0.328428;80.424628;4.589421;0.015359;0.003898;0.011581;0.002271;397487.812500
TensorFlowCPU;ANY;9;47.810964;7.664305;2.442384;0.333144;80.531601;5.060876;0.015382;0.003990;0.011570;0.002176;398089.656250
TensorFlowCPU;ANY;10;48.442372;7.749816;2.439815;0.335493;80.403485;4.952817;0.015631;0.004079;0.011597;0.002180;397487.343750
